,time,day,month,year,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1,00Z,2,Sep,1988,1,1000.0,83.0,27.0,23.5,81.0,18.63,135.0,5.0,300.1,355.0,303.5
3,00Z,2,Sep,1988,3,850.0,1493.0,19.6,16.4,82.0,14.0,190.0,9.0,306.7,349.0,309.2
4,00Z,2,Sep,1988,4,700.0,3148.0,14.0,9.0,72.0,10.4,210.0,9.0,318.0,351.1,319.9
5,00Z,2,Sep,1988,5,500.0,5890.0,-2.5,-8.5,63.0,4.05,170.0,4.0,329.9,343.9,330.7
6,00Z,2,Sep,1988,6,400.0,7580.0,-11.3,-18.3,56.0,2.27,180.0,6.0,340.2,348.6,340.7
7,00Z,2,Sep,1988,7,300.0,9700.0,-25.5,-26.8,89.0,1.43,115.0,8.0,349.3,354.9,349.6
8,00Z,2,Sep,1988,8,250.0,11000.0,-34.9,-44.9,35.0,0.28,95.0,9.0,354.0,355.3,354.1
9,00Z,2,Sep,1988,9,200.0,12530.0,-46.1,,,,100.0,13.0,359.6,,359.6
13,00Z,4,Sep,1988,1,1000.0,94.0,24.4,22.4,89.0,17.39,190.0,9.0,297.6,348.1,300.6
14,00Z,4,Sep,1988,2,850.0,1449.0,18.6,15.9,84.0,13.55,215.0,8.0,305.6,346.4,308.1
15,00Z,4,Sep,1988,3,700.0,3124.0,10.0,8.0,87.0,9.71,305.0,4.0,313.5,343.9,315.4
16,00Z,4,Sep,1988,4,500.0,5830.0,-3.5,-7.6,73.0,4.34,235.0,8.0,328.7,343.6,329.6
17,00Z,4,Sep,1988,5,400.0,7570.0,-12.3,-21.3,47.0,1.76,335.0,11.0,338.9,345.5,339.3
18,00Z,4,Sep,1988,6,300.0,9720.0,-26.5,-36.5,38.0,0.56,80.0,6.0,347.9,350.2,348.0
19,00Z,4,Sep,1988,7,250.0,11020.0,-35.3,-45.3,35.0,0.27,60.0,18.0,353.4,354.6,353.5
20,00Z,4,Sep,1988,8,200.0,12550.0,-46.7,,,,60.0,18.0,358.7,,358.7
22,00Z,6,Sep,1988,1,1000.0,115.0,25.2,24.5,96.0,19.82,210.0,8.0,298.4,356.2,301.9
23,00Z,6,Sep,1988,2,850.0,1515.0,17.4,16.4,94.0,14.0,270.0,9.0,304.4,346.3,306.9
24,00Z,6,Sep,1988,3,700.0,3151.0,9.0,8.0,93.0,9.71,350.0,7.0,312.4,342.7,314.2
25,00Z,6,Sep,1988,4,500.0,5870.0,-2.1,-3.5,90.0,5.95,180.0,8.0,330.4,350.6,331.6
26,00Z,6,Sep,1988,5,400.0,7620.0,-10.7,-19.7,48.0,2.02,180.0,6.0,341.0,348.5,341.4
27,00Z,6,Sep,1988,6,300.0,9670.0,-27.5,-40.5,28.0,0.37,100.0,8.0,346.5,348.1,346.6
28,00Z,6,Sep,1988,7,250.0,11050.0,-35.3,-48.3,25.0,0.19,20.0,8.0,353.4,354.3,353.5
29,00Z,6,Sep,1988,8,200.0,12580.0,-46.5,,,,15.0,33.0,359.0,,359.0
32,00Z,7,Sep,1988,1,1000.0,99.0,24.6,23.0,91.0,18.05,190.0,13.0,297.8,350.3,301.0
34,00Z,7,Sep,1988,3,850.0,1509.0,19.6,18.0,90.0,15.53,245.0,10.0,306.7,353.6,309.5
35,00Z,7,Sep,1988,4,700.0,3149.0,10.8,8.0,83.0,9.71,310.0,9.0,314.4,344.9,316.2
36,00Z,7,Sep,1988,5,500.0,5880.0,-3.3,-7.5,73.0,4.38,275.0,53.0,328.9,344.0,329.8
37,00Z,7,Sep,1988,6,400.0,7620.0,-12.0,-19.0,56.0,2.14,145.0,44.0,339.3,347.2,339.7
38,00Z,7,Sep,1988,7,300.0,9760.0,-26.3,-36.3,38.0,0.57,260.0,,348.2,350.6,348.3
40,00Z,9,Sep,1988,1,1000.0,119.0,26.0,24.4,91.0,19.69,170.0,8.0,299.1,356.9,302.7
41,00Z,9,Sep,1988,2,850.0,1524.0,19.0,16.0,83.0,13.64,225.0,10.0,306.0,347.2,308.5
42,00Z,9,Sep,1988,3,700.0,3169.0,12.0,8.0,77.0,9.71,217.0,9.0,315.7,346.4,317.6
43,00Z,9,Sep,1988,4,400.0,7650.0,-10.3,-16.3,61.0,2.69,195.0,6.0,341.5,351.4,342.1
44,00Z,9,Sep,1988,5,300.0,9800.0,-24.7,-32.7,47.0,0.82,150.0,10.0,350.5,353.8,350.6
45,00Z,9,Sep,1988,6,250.0,11000.0,-32.9,-40.9,45.0,0.43,65.0,15.0,357.0,358.9,357.1
46,00Z,9,Sep,1988,7,200.0,12631.0,-46.7,,,,60.0,15.0,358.7,,358.7
50,00Z,12,Sep,1988,1,1000.0,147.0,27.4,25.3,88.0,20.82,270.0,,300.6,362.0,304.3
51,00Z,12,Sep,1988,2,850.0,1562.0,20.2,17.0,82.0,14.56,270.0,8.0,307.3,351.4,310.0
52,00Z,12,Sep,1988,3,700.0,3213.0,12.0,6.0,67.0,8.45,15.0,13.0,315.7,342.6,317.4
53,00Z,12,Sep,1988,4,500.0,5960.0,-3.3,-9.3,63.0,3.8,10.0,151.0,328.9,342.1,329.7
54,00Z,12,Sep,1988,5,400.0,7690.0,-12.1,-19.1,56.0,2.12,95.0,2.0,339.2,347.0,339.6
55,00Z,12,Sep,1988,6,300.0,9850.0,-22.1,-34.1,33.0,0.72,150.0,3.0,354.1,357.1,354.3
56,00Z,12,Sep,1988,7,250.0,11180.0,-31.5,-42.5,33.0,0.36,350.0,4.0,359.1,360.7,359.2
57,00Z,12,Sep,1988,8,200.0,12729.0,-41.1,-55.1,21.0,0.11,350.0,11.0,367.5,368.0,367.6
59,00Z,13,Sep,1988,1,1000.0,123.0,27.2,23.6,81.0,18.74,130.0,8.0,300.4,355.6,303.7
61,00Z,13,Sep,1988,3,850.0,1528.0,17.0,13.0,77.0,11.19,295.0,10.0,303.9,337.5,306.0
62,00Z,13,Sep,1988,4,700.0,3158.0,11.2,10.2,94.0,11.29,320.0,27.0,314.9,350.3,317.0
63,00Z,13,Sep,1988,5,500.0,5970.0,-2.7,-11.7,50.0,3.14,10.0,6.0,329.7,340.7,330.3
64,00Z,13,Sep,1988,6,400.0,7710.0,-18.9,-30.9,34.0,0.73,345.0,4.0,330.3,333.1,330.5
65,00Z,13,Sep,1988,7,300.0,9860.0,-26.1,-39.1,28.0,0.43,65.0,3.0,348.5,350.3,348.6
66,00Z,13,Sep,1988,8,250.0,11160.0,-34.3,-48.3,23.0,0.19,135.0,5.0,354.9,355.8,355.0
67,00Z,13,Sep,1988,9,200.0,12677.0,-47.9,,,,90.0,8.0,356.8,,356.8
71,00Z,15,Sep,1988,1,1000.0,99.0,27.0,23.5,81.0,18.63,240.0,8.0,300.1,355.0,303.5
72,00Z,15,Sep,1988,2,850.0,1500.0,19.2,16.5,84.0,14.09,330.0,18.0,306.2,348.8,308.8
73,00Z,15,Sep,1988,3,700.0,3139.0,10.8,5.8,71.0,8.33,215.0,24.0,314.4,340.7,316.0
74,00Z,15,Sep,1988,4,500.0,5850.0,-3.5,-11.5,54.0,3.19,30.0,12.0,328.7,339.8,329.3
75,00Z,15,Sep,1988,5,400.0,7590.0,-11.7,-18.7,56.0,2.2,360.0,18.0,339.7,347.8,340.1
76,00Z,15,Sep,1988,6,300.0,9740.0,-25.9,-30.9,63.0,0.97,130.0,40.0,348.8,352.6,349.0
77,00Z,15,Sep,1988,7,250.0,11040.0,-32.5,,,,,,357.6,,357.6
79,00Z,17,Sep,1988,1,1000.0,87.0,26.6,23.1,81.0,18.17,45.0,4.0,299.8,353.1,303.0
80,00Z,17,Sep,1988,2,850.0,1500.0,21.0,12.0,56.0,10.47,175.0,6.0,308.1,340.2,310.1
81,00Z,17,Sep,1988,3,700.0,3152.0,11.0,5.0,66.0,7.87,125.0,17.0,314.6,339.6,316.1
82,00Z,17,Sep,1988,4,500.0,5880.0,-3.1,-7.7,71.0,4.31,155.0,11.0,329.2,344.0,330.1
83,00Z,17,Sep,1988,5,400.0,7020.0,-12.3,-26.3,30.0,1.12,190.0,4.0,338.9,343.2,339.1
84,00Z,17,Sep,1988,6,300.0,9770.0,-23.5,,,,250.0,3.0,352.1,,352.1
85,00Z,17,Sep,1988,7,250.0,10080.0,-32.5,,,,290.0,8.0,357.6,,357.6
86,00Z,17,Sep,1988,8,200.0,12630.0,-43.3,,,,260.0,15.0,364.0,,364.0
90,00Z,19,Sep,1988,1,1000.0,127.0,28.6,24.5,79.0,19.82,245.0,3.0,301.8,360.5,305.3
91,00Z,19,Sep,1988,2,850.0,1544.0,21.6,15.6,69.0,13.29,300.0,2.0,308.8,349.3,311.2
92,00Z,19,Sep,1988,3,700.0,3195.0,11.4,6.4,71.0,8.69,70.0,7.0,315.1,342.6,316.7
93,00Z,19,Sep,1988,4,500.0,5930.0,-3.9,-16.9,36.0,2.05,130.0,5.0,328.2,335.5,328.6
94,00Z,19,Sep,1988,5,400.0,7660.0,-12.1,-30.1,21.0,0.79,120.0,3.0,339.2,342.2,339.3
95,00Z,19,Sep,1988,6,300.0,9810.0,-25.5,-45.5,14.0,0.22,270.0,4.0,349.3,350.3,349.4
96,00Z,19,Sep,1988,7,250.0,11110.0,-36.1,,,,355.0,6.0,352.2,,352.2
97,00Z,19,Sep,1988,8,200.0,12620.0,-47.1,,,,325.0,5.0,358.0,,358.0
100,00Z,20,Sep,1988,1,1000.0,106.0,28.0,23.3,76.0,18.39,40.0,1.0,301.1,355.5,304.5
102,00Z,20,Sep,1988,3,850.0,1510.0,21.0,15.0,69.0,12.77,165.0,5.0,308.1,347.1,310.5
103,00Z,20,Sep,1988,4,700.0,3163.0,12.4,7.4,72.0,9.31,115.0,16.0,316.2,345.7,318.0
104,00Z,20,Sep,1988,5,500.0,5890.0,-3.7,-9.7,63.0,3.68,130.0,17.0,328.5,341.2,329.2
105,00Z,20,Sep,1988,6,400.0,7630.0,-11.1,-21.1,44.0,1.79,125.0,13.0,340.5,347.2,340.8
106,00Z,20,Sep,1988,7,300.0,9780.0,-25.5,-31.5,57.0,0.92,50.0,15.0,349.3,353.0,349.5
107,00Z,20,Sep,1988,8,250.0,11080.0,-33.9,-38.9,61.0,0.53,230.0,2.0,355.5,357.8,355.6
108,00Z,20,Sep,1988,9,200.0,12620.0,-46.9,,,,210.0,13.0,358.3,,358.3
113,00Z,22,Sep,1988,1,1000.0,81.0,27.4,23.8,81.0,18.98,110.0,4.0,300.6,356.5,303.9
115,00Z,22,Sep,1988,3,850.0,1523.0,21.0,16.5,75.0,14.09,133.0,8.0,308.1,351.0,310.7
116,00Z,22,Sep,1988,4,700.0,3153.0,13.0,7.0,67.0,9.06,160.0,12.0,316.9,345.7,318.6
117,00Z,22,Sep,1988,5,500.0,5850.0,-1.5,-8.5,59.0,4.05,170.0,9.0,331.1,345.2,332.0
118,00Z,22,Sep,1988,6,400.0,7610.0,-11.5,-23.5,36.0,1.45,180.0,19.0,339.9,345.4,340.2
119,00Z,22,Sep,1988,7,300.0,9760.0,-25.3,,,,220.0,2.0,349.6,,349.6
120,00Z,22,Sep,1988,8,250.0,11050.0,-34.9,,,,220.0,10.0,354.0,,354.0
121,00Z,22,Sep,1988,9,200.0,12690.0,-45.1,,,,5.0,3.0,361.2,,361.2
123,00Z,26,Sep,1988,1,1000.0,104.0,28.0,25.0,84.0,20.44,75.0,5.0,301.1,361.6,304.8
125,00Z,26,Sep,1988,3,850.0,1514.0,20.8,15.8,73.0,13.46,335.0,33.0,307.9,348.9,310.4
126,00Z,26,Sep,1988,4,700.0,3143.0,10.6,4.6,66.0,7.65,245.0,4.0,314.2,338.4,315.6
127,00Z,26,Sep,1988,5,500.0,5860.0,-3.1,-7.8,70.0,4.28,60.0,4.0,329.2,343.9,330.1
128,00Z,26,Sep,1988,6,400.0,7590.0,-14.7,-26.7,35.0,1.08,145.0,22.0,335.8,339.9,336.0
129,00Z,26,Sep,1988,7,300.0,9730.0,-25.5,,,,125.0,23.0,349.3,,349.3
130,00Z,26,Sep,1988,8,250.0,11030.0,-35.9,,,,100.0,19.0,352.6,,352.6
131,00Z,26,Sep,1988,9,200.0,12570.0,-46.7,,,,95.0,31.0,358.7,,358.7
136,00Z,27,Sep,1989,2,1000.0,113.0,24.6,24.6,100.0,19.94,105.0,22.0,297.8,355.9,301.3
140,00Z,27,Sep,1989,6,850.0,1534.0,-85.5,-86.8,80.0,0.0,170.0,0.0,196.6,196.6,196.6
143,00Z,1,Sep,1990,0,1000.0,-1.0,-84.6,-85.5,86.0,0.0,190.0,200.0,188.6,188.6,188.6
149,00Z,1,Sep,1990,6,700.0,3049.0,10.2,6.5,78.0,8.75,115.0,62.0,313.8,341.2,315.4
150,00Z,1,Sep,1990,7,500.0,5760.0,-4.3,-13.3,50.0,2.76,75.0,12.0,327.7,337.4,328.3
151,00Z,1,Sep,1990,8,400.0,7490.0,-14.1,,,,80.0,13.0,336.6,,336.6
152,00Z,1,Sep,1990,9,300.0,9620.0,-26.1,,,,350.0,29.0,348.5,,348.5
154,00Z,1,Sep,1990,11,250.0,10920.0,-35.5,,,,100.0,21.0,353.1,,353.1
155,00Z,1,Sep,1990,12,200.0,12440.0,-45.7,,,,85.0,36.0,360.2,,360.2
159,00Z,8,Sep,1990,1,1000.0,127.0,27.6,26.0,91.0,21.73,180.0,15.0,300.8,365.0,304.6
160,00Z,8,Sep,1990,2,850.0,1537.0,21.2,19.5,90.0,17.1,245.0,4.0,308.3,360.4,311.5
161,00Z,8,Sep,1990,3,700.0,3189.0,14.0,-2.0,33.0,4.74,290.0,9.0,318.0,333.5,318.9
163,00Z,8,Sep,1990,5,500.0,5930.0,-1.5,-7.5,64.0,4.38,95.0,7.0,331.1,346.3,332.0
164,00Z,8,Sep,1990,6,400.0,7680.0,-11.3,-24.3,33.0,1.35,115.0,318.0,340.2,345.3,340.5
165,00Z,8,Sep,1990,7,300.0,9830.0,-24.3,-34.3,39.0,0.7,100.0,40.0,351.0,353.9,351.2
166,00Z,8,Sep,1990,8,250.0,11140.0,-32.9,,,,100.0,54.0,357.0,,357.0
171,00Z,15,Sep,1990,2,1000.0,120.0,28.6,28.6,100.0,25.46,150.0,13.0,301.8,377.8,306.3
175,00Z,15,Sep,1990,6,850.0,1535.0,20.4,17.4,83.0,14.94,250.0,10.0,307.5,352.8,310.2
177,00Z,15,Sep,1990,8,700.0,3180.0,12.4,,,,215.0,3.0,316.2,,316.2
181,00Z,15,Sep,1990,12,400.0,7770.0,-10.5,,,,105.0,13.0,341.2,,341.2
182,00Z,15,Sep,1990,13,300.0,9940.0,-22.7,,,,90.0,12.0,353.3,,353.3
183,00Z,15,Sep,1990,14,250.0,11254.0,-31.3,,,,110.0,22.0,359.4,,359.4
184,00Z,15,Sep,1990,15,200.0,12884.0,-41.5,,,,110.0,31.0,366.9,,366.9
195,00Z,4,Sep,1991,1,1000.0,103.0,25.4,25.4,100.0,20.95,130.0,8.0,298.6,359.9,302.3
196,00Z,4,Sep,1991,2,850.0,1508.0,17.6,17.6,100.0,15.13,250.0,310.0,304.6,349.9,307.3
197,00Z,4,Sep,1991,3,700.0,3148.0,10.0,6.0,76.0,8.45,245.0,14.0,313.5,340.1,315.1
198,00Z,4,Sep,1991,4,500.0,5870.0,-3.7,-5.7,86.0,5.03,225.0,6.0,328.5,345.6,329.5
199,00Z,4,Sep,1991,5,400.0,7600.0,-12.5,-17.0,69.0,2.54,175.0,7.0,338.6,347.9,339.2
200,00Z,4,Sep,1991,6,300.0,9740.0,-26.5,,,,140.0,10.0,347.9,,347.9
201,00Z,4,Sep,1991,7,250.0,11030.0,-36.5,,,,70.0,10.0,351.7,,351.7
202,00Z,4,Sep,1991,8,200.0,12540.0,-48.9,,,,100.0,10.0,355.2,,355.2
205,00Z,8,Sep,1991,0,1000.0,,,,,,,,,,
206,00Z,8,Sep,1991,1,850.0,1490.0,20.0,15.6,76.0,13.29,230.0,32.0,307.1,347.4,309.5
212,00Z,8,Sep,1991,7,700.0,3135.0,12.0,9.5,85.0,10.76,225.0,33.0,315.7,349.7,317.8
213,00Z,8,Sep,1991,8,500.0,5870.0,-2.5,-17.5,31.0,1.95,230.0,14.0,329.9,336.9,330.3
214,00Z,8,Sep,1991,9,400.0,7620.0,-10.9,,,,60.0,67.0,340.7,,340.7
216,00Z,8,Sep,1991,11,300.0,9770.0,-25.7,,,,85.0,20.0,349.0,,349.0
217,00Z,8,Sep,1991,12,250.0,11060.0,-35.9,,,,85.0,25.0,352.6,,352.6
218,00Z,8,Sep,1991,13,200.0,12570.0,-49.7,,,,265.0,60.0,353.9,,353.9
221,00Z,14,Sep,1991,1,1000.0,123.0,25.0,25.0,100.0,20.44,220.0,19.0,298.1,357.8,301.8
222,00Z,14,Sep,1991,2,850.0,1523.0,17.4,17.4,100.0,14.94,220.0,14.0,304.4,349.1,307.1
223,00Z,14,Sep,1991,3,700.0,3153.0,10.4,6.2,75.0,8.57,220.0,15.0,314.0,340.9,315.6
224,00Z,14,Sep,1991,4,500.0,5870.0,-6.7,-10.2,76.0,3.54,205.0,16.0,324.8,336.9,325.5
225,00Z,14,Sep,1991,5,400.0,7580.0,-13.3,,,,240.0,3.0,337.6,,337.6
226,00Z,14,Sep,1991,6,300.0,9720.0,-28.1,,,,105.0,4.0,345.7,,345.7
227,00Z,14,Sep,1991,7,250.0,11000.0,-38.6,,,,89.0,13.0,348.5,,348.5
228,00Z,14,Sep,1991,8,200.0,12500.0,-50.9,,,,70.0,23.0,352.0,,352.0
235,00Z,21,Sep,1991,5,850.0,1513.0,19.4,17.8,90.0,15.33,145.0,3.0,306.4,352.8,309.3
237,00Z,21,Sep,1991,7,700.0,3153.0,9.4,8.0,91.0,9.71,135.0,2.0,312.9,343.2,314.7
238,00Z,21,Sep,1991,8,500.0,5870.0,-4.7,-6.0,91.0,4.92,155.0,7.0,327.2,343.9,328.2
240,00Z,21,Sep,1991,10,400.0,7590.0,-13.5,-20.5,56.0,1.88,120.0,3.0,337.4,344.3,337.7
242,00Z,21,Sep,1991,12,300.0,9730.0,-27.5,-37.5,38.0,0.51,80.0,12.0,346.5,348.6,346.6
243,00Z,21,Sep,1991,13,250.0,11010.0,-37.5,,,,100.0,7.0,350.2,,350.2
244,00Z,21,Sep,1991,14,200.0,12510.0,-49.3,,,,95.0,9.0,354.5,,354.5
250,00Z,25,Sep,1991,2,1000.0,98.0,25.8,24.0,90.0,19.21,155.0,19.0,298.9,355.2,302.4
254,00Z,25,Sep,1991,6,850.0,1498.0,17.2,10.2,63.0,9.27,180.0,24.0,304.1,332.1,305.9
256,00Z,25,Sep,1991,8,700.0,3128.0,9.4,9.4,100.0,10.69,220.0,23.0,312.9,346.1,314.9
258,00Z,25,Sep,1991,10,500.0,5840.0,-3.1,-5.6,83.0,5.07,240.0,12.0,329.2,346.5,330.2
260,00Z,25,Sep,1991,12,400.0,7570.0,-13.9,-17.7,73.0,2.39,265.0,10.0,336.8,345.5,337.3
262,00Z,25,Sep,1991,14,300.0,9690.0,-28.3,-40.3,31.0,0.38,310.0,13.0,345.4,347.0,345.5
263,00Z,25,Sep,1991,15,250.0,10970.0,-37.5,,,,265.0,20.0,350.2,,350.2
264,00Z,25,Sep,1991,16,200.0,12460.0,-51.7,,,,265.0,9.0,350.7,,350.7
269,00Z,28,Sep,1991,1,1000.0,114.0,25.0,25.0,100.0,20.44,165.0,6.0,298.1,357.8,301.8
273,00Z,28,Sep,1991,5,850.0,1514.0,18.6,18.6,100.0,16.14,175.0,5.0,305.6,354.2,308.6
275,00Z,28,Sep,1991,7,700.0,3149.0,11.0,11.0,100.0,11.92,235.0,23.0,314.6,351.9,316.9
279,00Z,28,Sep,1991,11,500.0,5870.0,-3.9,,,,115.0,17.0,328.2,,328.2
281,00Z,28,Sep,1991,13,400.0,7600.0,-15.5,,,,230.0,23.0,334.8,,334.8
282,00Z,28,Sep,1991,14,300.0,9610.0,-28.9,,,,265.0,17.0,344.5,,344.5
283,00Z,28,Sep,1991,15,250.0,10890.0,-38.1,,,,,,349.3,,349.3
284,00Z,28,Sep,1991,16,200.0,12590.0,-50.9,,,,,,352.0,,352.0
286,00Z,2,Sep,1992,1,1000.0,103.0,25.0,22.5,86.0,17.5,105.0,5.0,298.1,349.2,301.3
287,00Z,2,Sep,1992,2,850.0,1507.0,17.2,16.0,93.0,13.64,100.0,3.0,304.1,345.0,306.6
288,00Z,2,Sep,1992,3,700.0,3135.0,10.0,8.4,90.0,9.98,130.0,8.0,313.5,344.8,315.4
289,00Z,2,Sep,1992,4,500.0,5860.0,-2.5,-3.8,91.0,5.81,125.0,13.0,329.9,349.7,331.1
290,00Z,2,Sep,1992,5,400.0,7600.0,-14.1,-16.8,80.0,2.58,105.0,19.0,336.6,345.9,337.1
291,00Z,2,Sep,1992,6,300.0,9730.0,-27.7,-33.7,57.0,0.74,155.0,9.0,346.2,349.2,346.4
292,00Z,2,Sep,1992,7,250.0,11020.0,-36.7,-41.2,63.0,0.42,155.0,5.0,351.4,353.1,351.4
293,00Z,2,Sep,1992,8,200.0,12530.0,-48.5,,,,70.0,10.0,355.8,,355.8
296,00Z,5,Sep,1992,1,1000.0,97.0,26.8,25.6,93.0,21.21,125.0,11.0,299.9,362.4,303.7
300,00Z,5,Sep,1992,5,850.0,1500.0,18.0,16.0,88.0,13.64,105.0,6.0,305.0,346.0,307.5
301,00Z,5,Sep,1992,6,700.0,3135.0,11.2,8.2,82.0,9.84,90.0,2.0,314.9,345.8,316.7
302,00Z,5,Sep,1992,7,500.0,5850.0,-4.5,-8.2,75.0,4.15,45.0,4.0,327.5,341.7,328.3
303,00Z,5,Sep,1992,8,400.0,7580.0,-13.5,-17.3,73.0,2.48,45.0,8.0,337.4,346.4,337.9
304,00Z,5,Sep,1992,9,300.0,9700.0,-29.5,-37.5,46.0,0.51,45.0,8.0,343.7,345.8,343.8
305,00Z,5,Sep,1992,10,250.0,10990.0,-36.3,-45.3,39.0,0.27,65.0,19.0,352.0,353.1,352.0
306,00Z,5,Sep,1992,11,200.0,12500.0,-48.1,,,,85.0,28.0,356.4,,356.4
309,00Z,7,Sep,1992,1,1000.0,95.0,25.0,23.1,89.0,18.17,110.0,14.0,298.1,351.1,301.4
313,00Z,7,Sep,1992,5,850.0,1495.0,19.0,15.8,82.0,13.46,155.0,14.0,306.0,346.7,308.5
315,00Z,7,Sep,1992,7,700.0,3140.0,12.0,8.6,80.0,10.12,150.0,11.0,315.7,347.7,317.7
316,00Z,7,Sep,1992,8,500.0,5880.0,-3.1,-9.1,63.0,3.86,195.0,6.0,329.2,342.5,330.0
317,00Z,7,Sep,1992,9,400.0,7610.0,-12.9,-18.9,61.0,2.16,170.0,4.0,338.1,346.1,338.6
318,00Z,7,Sep,1992,10,300.0,9740.0,-27.5,-35.5,46.0,0.62,130.0,10.0,346.5,349.0,346.6
319,00Z,7,Sep,1992,11,250.0,11030.0,-36.7,-64.7,4.0,0.03,90.0,8.0,351.4,351.5,351.4
320,00Z,7,Sep,1992,12,200.0,12530.0,-48.3,,,,135.0,13.0,356.1,,356.1
322,00Z,8,Sep,1992,0,1000.0,34.0,28.0,25.0,84.0,20.44,,,301.1,361.6,304.8
326,00Z,8,Sep,1992,4,850.0,1490.0,20.0,19.2,95.0,16.77,175.0,15.0,307.1,357.9,310.2
328,00Z,8,Sep,1992,6,700.0,3133.0,13.0,12.2,95.0,12.92,175.0,9.0,316.9,357.6,319.3
331,00Z,8,Sep,1992,9,500.0,5870.0,-3.1,-4.4,91.0,5.56,165.0,8.0,329.2,348.1,330.3
334,00Z,8,Sep,1992,12,400.0,7600.0,-14.1,-20.1,60.0,1.95,125.0,17.0,336.6,343.7,337.0
335,00Z,8,Sep,1992,13,300.0,9720.0,-26.3,-32.3,57.0,0.85,55.0,9.0,348.2,351.6,348.4
336,00Z,8,Sep,1992,14,250.0,11010.0,-36.7,-45.7,39.0,0.26,80.0,18.0,351.4,352.5,351.4
337,00Z,8,Sep,1992,15,200.0,12510.0,-48.5,,,,65.0,21.0,355.8,,355.8
340,00Z,9,Sep,1992,1,1000.0,94.0,27.0,24.5,86.0,19.82,135.0,11.0,300.1,358.5,303.7
341,00Z,9,Sep,1992,2,850.0,1506.0,20.0,18.0,88.0,15.53,305.0,16.0,307.1,354.1,309.9
342,00Z,9,Sep,1992,3,700.0,3151.0,16.0,13.8,87.0,14.38,175.0,8.0,320.2,366.1,322.9
343,00Z,9,Sep,1992,4,500.0,5890.0,-1.1,-8.1,59.0,4.18,125.0,13.0,331.6,346.1,332.5
344,00Z,9,Sep,1992,5,400.0,7640.0,-11.3,-20.3,47.0,1.92,125.0,14.0,340.2,347.4,340.6
345,00Z,9,Sep,1992,6,300.0,9830.0,-27.5,-35.5,46.0,0.62,125.0,12.0,346.5,349.0,346.6
346,00Z,9,Sep,1992,7,250.0,11110.0,-36.7,-45.7,39.0,0.26,105.0,22.0,351.4,352.5,351.4
347,00Z,9,Sep,1992,8,200.0,12610.0,-48.7,,,,100.0,20.0,355.5,,355.5
351,00Z,10,Sep,1992,1,1000.0,100.0,25.6,23.4,88.0,18.51,145.0,21.0,298.8,352.9,302.1
352,00Z,10,Sep,1992,2,850.0,1505.0,19.0,16.5,85.0,14.09,140.0,6.0,306.0,348.5,308.6
353,00Z,10,Sep,1992,3,700.0,3150.0,12.2,10.5,89.0,11.52,165.0,7.0,316.0,352.2,318.1
354,00Z,10,Sep,1992,4,500.0,5820.0,-3.1,-9.1,63.0,3.86,115.0,16.0,329.2,342.5,330.0
355,00Z,10,Sep,1992,5,400.0,7560.0,-14.1,-18.6,69.0,2.22,70.0,21.0,336.6,344.7,337.0
356,00Z,10,Sep,1992,6,300.0,9670.0,-28.9,-36.9,46.0,0.54,85.0,16.0,344.5,346.7,344.6
357,00Z,10,Sep,1992,7,250.0,10940.0,-39.5,-45.5,53.0,0.26,85.0,14.0,347.2,348.3,347.3
358,00Z,10,Sep,1992,8,200.0,12430.0,-49.7,,,,50.0,23.0,353.9,,353.9
361,00Z,11,Sep,1992,1,1000.0,103.0,26.0,24.7,93.0,20.06,150.0,14.0,299.1,358.0,302.7
362,00Z,11,Sep,1992,2,850.0,1508.0,18.2,16.7,91.0,14.28,250.0,20.0,305.2,348.1,307.8
363,00Z,11,Sep,1992,3,700.0,3145.0,11.4,9.8,90.0,10.98,250.0,15.0,315.1,349.6,317.2
364,00Z,11,Sep,1992,4,500.0,5880.0,-2.3,-5.7,77.0,5.03,200.0,7.0,330.2,347.4,331.2
365,00Z,11,Sep,1992,5,400.0,7620.0,-11.7,-15.7,72.0,2.83,145.0,31.0,339.7,350.0,340.3
366,00Z,11,Sep,1992,6,300.0,9770.0,-26.1,-35.1,43.0,0.65,110.0,6.0,348.5,351.1,348.6
367,00Z,11,Sep,1992,7,250.0,11060.0,-36.5,-44.5,43.0,0.29,30.0,4.0,351.7,352.9,351.7
368,00Z,11,Sep,1992,8,200.0,12560.0,-49.7,,,,30.0,12.0,353.9,,353.9
372,00Z,12,Sep,1992,1,1000.0,100.0,24.6,24.0,96.0,19.21,195.0,10.0,297.8,353.7,301.2
373,00Z,12,Sep,1992,2,850.0,1500.0,18.0,17.0,94.0,14.56,245.0,19.0,305.0,348.7,307.6
374,00Z,12,Sep,1992,3,700.0,3135.0,11.2,10.0,92.0,11.14,250.0,11.0,314.9,349.8,317.0
375,00Z,12,Sep,1992,4,500.0,5870.0,-2.5,-3.8,91.0,5.81,285.0,7.0,329.9,349.7,331.1
376,00Z,12,Sep,1992,5,400.0,7600.0,-12.7,-15.4,80.0,2.9,260.0,15.0,338.4,348.9,339.0
377,00Z,12,Sep,1992,6,300.0,9740.0,-27.5,-33.5,57.0,0.76,235.0,17.0,346.5,349.6,346.7
